Frequency (Hz)	Level (dB)
10.766602	-32.512741
21.533203	-35.848072
32.299805	-39.114113
43.066406	-25.802017
53.833008	-18.989382
64.599609	-16.079626
75.366211	-13.278614
86.132812	-18.867970
96.899414	-28.047142
107.666016	-29.970266
118.432617	-32.670223
129.199219	-21.961964
139.965820	-19.746965
150.732422	-23.876474
161.499023	-30.278126
172.265625	-35.132198
183.032227	-40.552197
193.798828	-35.079174
204.565430	-32.842102
215.332031	-31.574022
226.098633	-31.475775
236.865234	-33.809956
247.631836	-37.254757
258.398438	-38.212959
269.165039	-42.614216
279.931641	-38.488232
290.698242	-34.118740
301.464844	-34.660954
312.231445	-34.515541
322.998047	-34.786579
333.764648	-39.249336
344.531250	-44.470509
355.297852	-39.549400
366.064453	-33.431599
376.831055	-30.724615
387.597656	-38.329636
398.364258	-38.707424
409.130859	-43.367748
419.897461	-37.921021
430.664062	-38.283878
441.430664	-42.413586
452.197266	-45.231342
462.963867	-46.057423
473.730469	-44.705334
484.497070	-44.212894
495.263672	-44.179012
506.030273	-44.446056
516.796875	-43.473473
527.563477	-44.914352
538.330078	-50.840046
549.096680	-49.699051
559.863281	-45.009415
570.629883	-44.608765
581.396484	-47.453064
592.163086	-48.867756
602.929688	-50.923946
613.696289	-50.920479
624.462891	-46.958363
635.229492	-48.392281
645.996094	-46.889088
656.762695	-43.054306
667.529297	-43.640877
678.295898	-42.577881
689.062500	-42.989281
699.829102	-46.158394
710.595703	-46.564629
721.362305	-44.749527
732.128906	-45.533474
742.895508	-47.658813
753.662109	-56.458946
764.428711	-54.187672
775.195312	-54.099056
785.961914	-53.946033
796.728516	-55.763100
807.495117	-55.223358
818.261719	-51.750351
829.028320	-49.237457
839.794922	-50.852924
850.561523	-54.228600
861.328125	-50.882812
872.094727	-50.690922
882.861328	-54.445236
893.627930	-51.479805
904.394531	-51.094994
915.161133	-53.991520
925.927734	-62.568626
936.694336	-61.667191
947.460938	-60.350342
958.227539	-57.997585
968.994141	-58.394310
979.760742	-56.121365
990.527344	-54.929214
1001.293945	-55.389412
1012.060547	-53.185364
1022.827148	-53.797859
1033.593750	-54.938663
1044.360352	-52.450527
