Frequency (Hz)	Level (dB)
10.766602	-58.315987
21.533203	-58.024635
32.299805	-65.027191
43.066406	-58.468029
53.833008	-57.820137
64.599609	-58.945614
75.366211	-52.901329
86.132812	-56.038822
96.899414	-65.065437
107.666016	-60.218517
118.432617	-59.395885
129.199219	-59.824909
139.965820	-58.822628
150.732422	-56.357407
161.499023	-58.720699
172.265625	-62.255001
183.032227	-64.443817
193.798828	-66.891777
204.565430	-62.941330
215.332031	-56.659325
226.098633	-57.944489
236.865234	-62.059814
247.631836	-60.847286
258.398438	-59.520050
269.165039	-64.989250
279.931641	-57.734482
290.698242	-57.001381
301.464844	-58.733898
312.231445	-60.374615
322.998047	-60.759315
333.764648	-63.486111
344.531250	-63.883430
355.297852	-58.450115
366.064453	-57.154648
376.831055	-59.799076
387.597656	-60.322578
398.364258	-59.861469
409.130859	-62.068768
419.897461	-62.792042
430.664062	-61.590504
441.430664	-58.058300
452.197266	-60.904366
462.963867	-62.387917
473.730469	-61.465565
484.497070	-62.254089
495.263672	-60.683838
506.030273	-61.577194
516.796875	-68.093529
527.563477	-64.208694
538.330078	-60.772186
549.096680	-60.300812
559.863281	-62.087811
570.629883	-60.866226
581.396484	-60.574482
592.163086	-60.208515
602.929688	-61.227970
613.696289	-62.160446
624.462891	-66.947693
635.229492	-66.640877
645.996094	-63.016075
656.762695	-59.420898
667.529297	-65.565773
678.295898	-64.277870
689.062500	-69.085022
699.829102	-64.743217
710.595703	-65.012222
721.362305	-61.928497
732.128906	-63.856518
742.895508	-64.928711
753.662109	-63.607189
764.428711	-62.804790
775.195312	-62.388580
785.961914	-60.878201
796.728516	-62.837681
807.495117	-62.854885
818.261719	-62.951462
829.028320	-61.196564
839.794922	-65.620056
850.561523	-63.567265
861.328125	-65.487999
872.094727	-64.238518
882.861328	-63.713093
893.627930	-63.995270
904.394531	-62.185871
915.161133	-63.254402
925.927734	-61.772263
936.694336	-62.342640
947.460938	-61.584061
958.227539	-61.869392
968.994141	-65.347687
979.760742	-64.267906
990.527344	-63.111912
1001.293945	-64.418655
1012.060547	-60.179237
1022.827148	-59.743073
1033.593750	-60.021408
1044.360352	-58.888268
1055.126953	-58.895031
1065.893555	-60.621204
1076.660156	-61.871410
1087.426758	-60.097797
1098.193359	-60.521576
1108.959961	-62.026791
1119.726562	-63.976734
1130.493164	-60.703388
1141.259766	-60.053398
1152.026367	-60.100227
1162.792969	-60.493702
1173.559570	-64.965240
1184.326172	-65.917366
1195.092773	-70.257355
1205.859375	-64.627502
1216.625977	-65.441116
1227.392578	-67.627487
1238.159180	-63.494766
1248.925781	-63.355946
1259.692383	-68.537521
1270.458984	-67.692451
1281.225586	-61.064079
1291.992188	-58.309696
1302.758789	-61.168098
1313.525391	-60.381077
1324.291992	-63.284359
1335.058594	-65.037140
1345.825195	-60.428162
1356.591797	-59.312840
1367.358398	-64.145660
1378.125000	-62.047066
1388.891602	-62.513416
1399.658203	-66.063278
1410.424805	-64.970863
1421.191406	-61.947002
1431.958008	-59.933323
1442.724609	-60.903572
1453.491211	-62.798981
1464.257812	-66.900307
1475.024414	-66.356468
1485.791016	-63.823223
1496.557617	-64.059288
1507.324219	-61.793613
1518.090820	-60.008610
1528.857422	-58.123264
1539.624023	-63.860119
1550.390625	-61.713722
1561.157227	-60.767937
1571.923828	-63.835312
1582.690430	-63.548206
1593.457031	-62.628159
1604.223633	-62.295811
1614.990234	-65.784576
1625.756836	-64.686943
1636.523438	-61.322338
1647.290039	-65.330498
1658.056641	-63.137081
1668.823242	-62.723465
1679.589844	-62.219124
1690.356445	-64.251656
1701.123047	-68.520012
1711.889648	-63.883495
1722.656250	-65.778748
1733.422852	-64.119858
1744.189453	-61.784752
1754.956055	-63.938290
1765.722656	-63.123352
1776.489258	-61.381779
1787.255859	-59.551456
1798.022461	-60.637806
1808.789062	-62.536781
1819.555664	-62.852367
1830.322266	-62.553883
1841.088867	-64.065613
1851.855469	-66.888809
1862.622070	-63.300545
1873.388672	-63.260174
1884.155273	-62.980270
1894.921875	-66.798195
1905.688477	-69.103043
1916.455078	-67.255829
1927.221680	-59.776382
1937.988281	-60.405098
1948.754883	-62.883183
1959.521484	-65.770683
1970.288086	-62.962227
1981.054688	-59.910976
1991.821289	-59.964008
2002.587891	-62.599060
2013.354492	-66.998405
2024.121094	-65.727242
2034.887695	-62.558868
2045.654297	-62.247654
2056.420898	-62.402988
2067.187500	-61.171715
2077.954102	-59.758755
2088.720703	-61.763821
2099.487305	-66.076752
2110.253906	-65.804649
2121.020508	-65.294701
2131.787109	-64.930893
2142.553711	-62.458065
2153.320312	-61.694355
2164.086914	-62.733532
2174.853516	-63.056019
2185.620117	-62.402885
2196.386719	-64.454468
2207.153320	-66.375282
2217.919922	-69.598679
2228.686523	-68.538399
2239.453125	-67.193878
2250.219727	-65.087204
2260.986328	-65.267067
2271.752930	-66.787827
2282.519531	-66.522224
2293.286133	-68.221291
2304.052734	-68.938339
2314.819336	-62.395168
2325.585938	-62.313221
2336.352539	-62.795883
2347.119141	-61.167889
2357.885742	-61.554844
2368.652344	-66.004982
2379.418945	-64.065979
2390.185547	-66.196167
2400.952148	-65.445747
2411.718750	-61.604671
2422.485352	-61.941734
2433.251953	-64.352921
2444.018555	-65.051758
2454.785156	-61.514111
2465.551758	-64.061440
2476.318359	-64.814041
2487.084961	-62.197052
2497.851562	-64.092270
2508.618164	-63.771744
2519.384766	-62.972599
2530.151367	-60.336479
2540.917969	-60.827301
2551.684570	-60.144852
2562.451172	-61.173840
2573.217773	-62.152069
2583.984375	-62.452671
2594.750977	-62.637848
2605.517578	-60.638832
2616.284180	-60.129620
2627.050781	-59.922314
2637.817383	-62.413834
2648.583984	-62.473595
2659.350586	-61.288406
2670.117188	-61.568012
2680.883789	-61.587337
2691.650391	-65.732391
2702.416992	-61.862747
2713.183594	-62.217812
2723.950195	-61.407810
2734.716797	-59.274227
2745.483398	-60.321156
2756.250000	-65.871368
2767.016602	-62.965584
2777.783203	-63.269886
2788.549805	-60.544899
2799.316406	-60.077675
2810.083008	-60.515236
2820.849609	-60.580959
2831.616211	-58.101013
2842.382812	-58.854908
2853.149414	-63.817013
2863.916016	-64.387497
2874.682617	-63.329205
2885.449219	-60.892227
2896.215820	-59.966877
2906.982422	-59.897957
2917.749023	-62.647293
2928.515625	-61.757153
2939.282227	-61.512188
2950.048828	-62.732185
2960.815430	-65.365341
2971.582031	-64.539078
2982.348633	-65.557243
2993.115234	-67.364838
3003.881836	-60.023659
3014.648438	-60.140579
3025.415039	-59.118404
3036.181641	-57.665470
3046.948242	-61.103779
3057.714844	-64.026802
3068.481445	-64.024147
3079.248047	-61.355721
3090.014648	-60.429737
3100.781250	-63.470116
3111.547852	-61.648285
3122.314453	-61.974327
3133.081055	-62.426109
3143.847656	-68.042130
3154.614258	-68.479485
3165.380859	-58.301086
3176.147461	-61.304905
3186.914062	-66.755127
3197.680664	-67.560982
3208.447266	-66.620094
3219.213867	-65.375160
3229.980469	-64.414642
3240.747070	-63.369869
3251.513672	-59.832714
3262.280273	-63.913803
3273.046875	-59.823261
3283.813477	-62.181450
3294.580078	-62.192051
3305.346680	-63.847672
3316.113281	-63.397343
3326.879883	-61.640369
3337.646484	-61.280930
3348.413086	-62.296593
3359.179688	-63.896137
3369.946289	-62.880230
3380.712891	-63.427567
3391.479492	-63.630756
3402.246094	-60.887447
3413.012695	-60.142887
3423.779297	-60.281582
3434.545898	-61.289951
3445.312500	-61.309551
3456.079102	-61.515404
3466.845703	-61.820889
3477.612305	-61.921341
3488.378906	-63.431389
3499.145508	-64.617828
3509.912109	-66.963676
3520.678711	-65.734673
3531.445312	-63.206448
3542.211914	-63.259758
3552.978516	-62.838947
3563.745117	-62.013176
3574.511719	-60.947170
3585.278320	-61.348763
3596.044922	-61.000717
3606.811523	-62.912273
3617.578125	-64.680038
3628.344727	-65.824310
3639.111328	-60.064274
3649.877930	-60.021839
3660.644531	-63.886360
3671.411133	-64.329994
3682.177734	-64.951050
3692.944336	-63.772285
3703.710938	-61.594368
3714.477539	-62.921196
3725.244141	-68.607170
3736.010742	-64.490349
3746.777344	-62.812534
3757.543945	-61.963196
3768.310547	-63.474319
3779.077148	-65.015785
3789.843750	-65.490623
3800.610352	-65.983856
3811.376953	-61.938328
3822.143555	-61.824188
3832.910156	-60.938972
3843.676758	-65.329697
3854.443359	-64.315628
3865.209961	-61.509651
3875.976562	-61.765026
3886.743164	-60.101639
3897.509766	-62.925621
3908.276367	-62.700859
3919.042969	-62.810497
3929.809570	-63.343887
