Frequency (Hz)	Level (dB)
10.766602	-48.679539
21.533203	-46.287022
32.299805	-45.595734
43.066406	-44.618706
53.833008	-45.134579
64.599609	-47.181686
75.366211	-42.321690
86.132812	-37.143658
96.899414	-34.437904
107.666016	-36.956509
118.432617	-40.216080
129.199219	-41.213886
139.965820	-40.767353
150.732422	-42.280609
161.499023	-44.953659
172.265625	-45.982952
183.032227	-46.402405
193.798828	-46.290733
204.565430	-44.303978
215.332031	-43.807014
226.098633	-43.600960
236.865234	-43.191940
247.631836	-43.194740
258.398438	-42.371796
269.165039	-41.032635
279.931641	-38.595543
290.698242	-38.668350
301.464844	-41.094429
312.231445	-43.028641
322.998047	-43.198135
333.764648	-43.743137
344.531250	-45.242439
355.297852	-44.800766
366.064453	-44.417324
376.831055	-44.390678
387.597656	-44.227135
398.364258	-44.511635
409.130859	-44.998871
419.897461	-45.515709
430.664062	-46.812172
441.430664	-47.661587
452.197266	-48.536694
462.963867	-48.672638
473.730469	-49.018024
484.497070	-49.690712
495.263672	-49.049072
506.030273	-47.053162
516.796875	-46.173252
527.563477	-46.525467
538.330078	-45.314095
549.096680	-43.798782
559.863281	-42.186256
570.629883	-41.658047
581.396484	-42.404903
592.163086	-42.455536
602.929688	-42.754013
613.696289	-43.959663
624.462891	-44.314541
635.229492	-43.897881
645.996094	-43.930069
656.762695	-42.686535
667.529297	-42.964615
678.295898	-43.894558
689.062500	-43.429176
699.829102	-43.162212
710.595703	-42.720661
721.362305	-40.219105
732.128906	-41.598122
742.895508	-44.561222
753.662109	-44.310318
764.428711	-44.179848
775.195312	-45.704620
785.961914	-45.940926
796.728516	-43.200985
807.495117	-42.943607
818.261719	-41.137360
829.028320	-39.681175
839.794922	-38.145199
850.561523	-38.509323
861.328125	-42.369457
872.094727	-44.774853
882.861328	-44.941833
893.627930	-43.632481
904.394531	-43.372456
915.161133	-45.123829
925.927734	-46.497940
936.694336	-47.864807
947.460938	-49.463619
958.227539	-47.829704
968.994141	-47.420261
979.760742	-46.846897
990.527344	-47.269287
1001.293945	-48.891205
1012.060547	-49.367554
1022.827148	-49.848270
1033.593750	-49.890327
1044.360352	-49.363235
1055.126953	-49.260963
1065.893555	-48.268562
1076.660156	-48.339920
1087.426758	-49.236500
1098.193359	-49.091881
1108.959961	-49.603848
1119.726562	-50.378597
1130.493164	-49.720127
1141.259766	-49.501701
1152.026367	-49.260239
1162.792969	-48.393265
1173.559570	-47.132801
1184.326172	-46.195812
1195.092773	-47.290123
1205.859375	-47.950500
1216.625977	-45.684803
1227.392578	-43.496639
1238.159180	-44.533764
1248.925781	-46.102451
1259.692383	-44.775627
1270.458984	-44.435692
1281.225586	-46.389000
1291.992188	-47.092995
1302.758789	-45.966030
1313.525391	-43.926376
1324.291992	-44.939255
1335.058594	-46.081261
1345.825195	-46.859863
1356.591797	-46.159489
1367.358398	-45.780041
1378.125000	-45.109497
1388.891602	-44.366837
1399.658203	-43.868961
1410.424805	-43.926388
1421.191406	-45.217613
1431.958008	-45.536282
1442.724609	-44.584480
1453.491211	-44.205261
1464.257812	-43.984257
1475.024414	-43.922962
1485.791016	-44.048969
1496.557617	-43.105835
1507.324219	-43.790188
1518.090820	-44.304596
1528.857422	-43.355568
1539.624023	-41.848396
1550.390625	-42.995346
1561.157227	-43.966228
1571.923828	-43.779083
1582.690430	-43.480518
1593.457031	-42.261406
1604.223633	-43.026493
1614.990234	-44.101234
1625.756836	-42.837158
1636.523438	-42.041759
1647.290039	-42.298737
1658.056641	-42.714783
1668.823242	-42.154663
1679.589844	-41.434845
1690.356445	-42.326256
1701.123047	-44.314175
1711.889648	-45.775986
1722.656250	-46.868881
1733.422852	-46.238129
1744.189453	-45.444439
1754.956055	-46.231659
1765.722656	-47.096684
1776.489258	-48.446636
1787.255859	-49.770420
1798.022461	-50.002590
1808.789062	-49.503613
1819.555664	-49.395290
1830.322266	-49.746250
1841.088867	-51.155796
1851.855469	-51.474220
1862.622070	-50.513191
1873.388672	-49.860851
1884.155273	-50.625805
1894.921875	-50.869507
1905.688477	-52.240940
1916.455078	-51.527779
1927.221680	-50.124416
1937.988281	-49.902782
1948.754883	-50.813614
1959.521484	-50.675846
1970.288086	-49.643642
1981.054688	-50.113972
1991.821289	-49.615509
2002.587891	-48.811378
2013.354492	-48.426235
2024.121094	-47.996750
2034.887695	-46.827080
2045.654297	-46.250862
2056.420898	-46.863316
2067.187500	-47.269440
2077.954102	-47.555290
2088.720703	-48.075722
2099.487305	-48.098824
2110.253906	-48.550598
2121.020508	-48.041962
2131.787109	-46.198044
2142.553711	-44.492836
2153.320312	-44.592770
2164.086914	-45.227058
2174.853516	-45.098022
2185.620117	-44.978607
2196.386719	-45.442169
2207.153320	-45.703663
2217.919922	-45.731037
2228.686523	-45.661392
2239.453125	-45.386902
2250.219727	-45.376804
2260.986328	-44.107895
2271.752930	-43.478691
2282.519531	-44.077377
2293.286133	-45.040195
2304.052734	-45.348282
2314.819336	-44.934322
2325.585938	-45.135052
2336.352539	-43.283592
2347.119141	-43.966465
2357.885742	-45.306168
2368.652344	-46.493279
2379.418945	-44.788387
2390.185547	-44.526184
2400.952148	-45.757717
2411.718750	-44.803307
2422.485352	-44.254539
2433.251953	-44.457729
2444.018555	-44.827232
2454.785156	-45.163319
2465.551758	-45.143208
2476.318359	-44.747940
2487.084961	-45.193077
2497.851562	-46.040386
2508.618164	-46.133907
2519.384766	-45.806534
2530.151367	-46.254475
2540.917969	-45.777683
2551.684570	-46.364063
2562.451172	-47.116123
2573.217773	-46.493027
2583.984375	-46.280018
2594.750977	-46.358849
2605.517578	-46.560104
2616.284180	-46.222260
2627.050781	-45.481392
2637.817383	-46.439251
2648.583984	-47.051781
2659.350586	-47.454556
2670.117188	-48.058167
2680.883789	-49.062740
