Frequency (Hz)	Level (dB)
10.766602	-58.400959
21.533203	-60.003048
32.299805	-70.880516
43.066406	-63.543411
53.833008	-63.947868
64.599609	-63.958900
75.366211	-54.379639
86.132812	-57.585075
96.899414	-67.609146
107.666016	-67.102303
118.432617	-70.010391
129.199219	-70.252792
139.965820	-64.512398
150.732422	-62.749714
161.499023	-62.117310
172.265625	-63.677261
183.032227	-66.640030
193.798828	-66.553612
204.565430	-69.479218
215.332031	-60.356640
226.098633	-59.490540
236.865234	-65.233589
247.631836	-69.416168
258.398438	-68.887367
269.165039	-72.451874
279.931641	-68.778671
290.698242	-63.258953
301.464844	-65.869202
312.231445	-75.284355
322.998047	-71.585251
333.764648	-72.335030
344.531250	-68.875961
355.297852	-65.984222
366.064453	-61.141411
376.831055	-63.462997
387.597656	-65.879631
398.364258	-68.208298
409.130859	-69.693108
419.897461	-72.221443
430.664062	-66.614685
441.430664	-62.617935
452.197266	-68.247902
462.963867	-69.543922
473.730469	-71.098045
484.497070	-74.227745
495.263672	-68.507637
506.030273	-69.922806
516.796875	-77.267357
527.563477	-74.450493
538.330078	-68.810608
549.096680	-65.618164
559.863281	-68.778206
570.629883	-70.311951
581.396484	-69.219673
592.163086	-72.345207
602.929688	-74.606628
613.696289	-70.930542
624.462891	-66.685196
635.229492	-65.256668
645.996094	-69.572189
656.762695	-62.327591
667.529297	-64.067627
678.295898	-68.513184
689.062500	-65.687141
699.829102	-63.646057
710.595703	-64.468330
721.362305	-68.012085
732.128906	-64.007439
742.895508	-60.466293
753.662109	-64.278511
764.428711	-71.993935
775.195312	-69.648849
785.961914	-70.585365
796.728516	-67.780563
807.495117	-64.284981
818.261719	-63.175652
829.028320	-65.395493
839.794922	-68.528404
850.561523	-73.482803
861.328125	-70.966270
872.094727	-70.063316
882.861328	-73.343872
893.627930	-70.080605
904.394531	-70.147842
915.161133	-69.429672
925.927734	-68.932709
936.694336	-70.806190
947.460938	-71.841835
958.227539	-69.058846
968.994141	-63.421455
979.760742	-64.388145
990.527344	-72.834717
1001.293945	-71.513008
1012.060547	-69.116142
1022.827148	-68.362320
1033.593750	-71.613373
1044.360352	-69.367531
1055.126953	-72.086426
1065.893555	-69.467056
1076.660156	-65.664047
1087.426758	-62.740242
1098.193359	-65.249969
1108.959961	-63.699177
1119.726562	-55.450523
1130.493164	-54.489159
1141.259766	-59.640556
1152.026367	-64.492432
1162.792969	-69.822624
1173.559570	-67.760788
1184.326172	-71.074654
1195.092773	-70.013435
1205.859375	-72.177162
1216.625977	-79.868805
1227.392578	-63.577160
1238.159180	-55.745998
1248.925781	-59.871521
1259.692383	-72.260544
1270.458984	-69.513885
1281.225586	-68.293823
1291.992188	-70.268158
1302.758789	-77.037292
1313.525391	-70.745583
1324.291992	-67.699364
1335.058594	-70.939445
1345.825195	-72.579323
1356.591797	-73.593651
1367.358398	-73.179565
1378.125000	-60.043797
1388.891602	-58.515461
1399.658203	-67.035103
1410.424805	-67.259201
1421.191406	-66.496124
1431.958008	-65.886055
1442.724609	-65.374992
1453.491211	-62.815056
1464.257812	-60.024448
1475.024414	-64.954048
1485.791016	-69.323418
1496.557617	-69.884773
1507.324219	-71.837570
1518.090820	-77.796501
1528.857422	-71.583992
1539.624023	-69.660217
1550.390625	-71.543785
1561.157227	-68.600197
1571.923828	-66.073250
1582.690430	-67.162704
1593.457031	-69.111145
1604.223633	-70.130638
1614.990234	-70.686272
1625.756836	-69.655670
1636.523438	-70.153992
1647.290039	-71.105598
1658.056641	-68.462654
1668.823242	-69.564384
1679.589844	-62.890484
1690.356445	-61.482941
1701.123047	-66.608818
1711.889648	-74.669090
1722.656250	-72.104515
1733.422852	-71.005539
1744.189453	-69.624626
1754.956055	-66.265488
1765.722656	-67.393524
1776.489258	-70.266479
1787.255859	-69.929642
1798.022461	-70.882301
1808.789062	-73.322884
1819.555664	-72.001434
1830.322266	-66.981285
1841.088867	-70.102745
1851.855469	-71.747795
1862.622070	-68.197189
1873.388672	-70.063286
1884.155273	-75.184158
1894.921875	-72.352180
1905.688477	-70.927719
1916.455078	-71.787888
1927.221680	-76.550972
1937.988281	-74.425140
1948.754883	-70.917625
1959.521484	-72.242279
1970.288086	-70.426865
1981.054688	-69.328522
1991.821289	-69.129181
2002.587891	-74.771454
2013.354492	-71.941147
2024.121094	-68.235054
2034.887695	-70.971695
2045.654297	-76.182968
2056.420898	-75.337090
2067.187500	-74.173111
2077.954102	-76.847458
2088.720703	-73.175644
2099.487305	-71.477364
2110.253906	-72.130356
2121.020508	-76.468109
2131.787109	-76.458664
2142.553711	-73.308655
2153.320312	-75.548820
2164.086914	-68.903038
2174.853516	-65.254066
2185.620117	-66.758621
2196.386719	-68.714813
2207.153320	-71.654922
2217.919922	-69.934898
2228.686523	-71.391403
2239.453125	-70.792999
2250.219727	-70.931641
2260.986328	-70.228912
2271.752930	-68.050461
2282.519531	-68.658829
2293.286133	-69.413452
2304.052734	-71.833893
2314.819336	-72.917061
2325.585938	-72.858170
2336.352539	-72.371155
2347.119141	-72.874352
2357.885742	-73.724869
2368.652344	-74.158333
2379.418945	-73.640656
2390.185547	-66.704460
2400.952148	-67.397964
2411.718750	-68.463234
2422.485352	-69.551041
2433.251953	-67.684784
2444.018555	-71.183342
2454.785156	-71.251740
2465.551758	-66.674515
2476.318359	-68.003502
2487.084961	-68.361198
2497.851562	-67.002098
2508.618164	-70.368912
2519.384766	-70.935669
2530.151367	-74.203827
2540.917969	-71.862000
2551.684570	-70.553970
2562.451172	-72.440521
2573.217773	-70.648918
2583.984375	-69.906563
2594.750977	-69.708839
2605.517578	-71.142067
2616.284180	-72.520386
2627.050781	-71.953308
2637.817383	-70.561279
2648.583984	-71.633163
2659.350586	-71.302483
2670.117188	-70.097939
2680.883789	-71.791954
2691.650391	-76.468117
2702.416992	-71.797897
2713.183594	-72.300125
2723.950195	-75.457008
2734.716797	-73.353378
2745.483398	-74.111435
2756.250000	-72.862175
2767.016602	-71.472656
2777.783203	-72.196213
2788.549805	-71.589554
2799.316406	-71.320999
2810.083008	-71.127945
2820.849609	-73.719597
2831.616211	-74.823830
2842.382812	-75.276428
2853.149414	-73.079391
2863.916016	-70.542892
2874.682617	-69.912018
2885.449219	-70.692009
2896.215820	-70.841133
2906.982422	-75.234650
2917.749023	-72.079849
2928.515625	-70.355003
2939.282227	-72.804062
2950.048828	-71.915001
2960.815430	-69.862778
2971.582031	-67.628914
2982.348633	-70.750252
2993.115234	-70.112556
3003.881836	-67.385361
3014.648438	-69.841560
3025.415039	-71.472870
3036.181641	-71.933067
3046.948242	-72.156151
3057.714844	-73.243774
3068.481445	-71.620644
3079.248047	-71.863976
3090.014648	-73.471771
3100.781250	-72.813850
3111.547852	-77.180962
3122.314453	-73.378113
3133.081055	-75.584106
3143.847656	-73.032120
3154.614258	-71.136848
3165.380859	-73.565048
3176.147461	-75.134094
3186.914062	-76.851059
3197.680664	-70.401649
3208.447266	-69.220779
3219.213867	-71.125931
3229.980469	-70.982193
3240.747070	-72.153755
3251.513672	-75.437805
3262.280273	-74.464828
3273.046875	-71.125854
3283.813477	-69.972107
3294.580078	-75.473984
3305.346680	-69.782928
3316.113281	-72.535355
3326.879883	-74.880463
3337.646484	-71.543930
3348.413086	-73.444473
3359.179688	-72.878731
3369.946289	-74.871185
3380.712891	-79.202148
3391.479492	-80.339294
3402.246094	-75.936890
3413.012695	-74.394104
3423.779297	-73.048698
3434.545898	-74.414467
3445.312500	-74.390244
3456.079102	-71.310165
3466.845703	-72.362473
3477.612305	-73.197021
3488.378906	-72.956551
3499.145508	-73.057365
3509.912109	-75.433105
3520.678711	-74.901840
3531.445312	-72.657455
3542.211914	-69.763954
3552.978516	-71.395538
3563.745117	-73.408646
3574.511719	-71.552956
3585.278320	-69.061813
3596.044922	-70.504860
3606.811523	-71.010620
3617.578125	-75.427528
3628.344727	-73.642639
3639.111328	-73.276070
3649.877930	-75.461128
3660.644531	-76.449020
3671.411133	-74.762665
3682.177734	-75.721497
3692.944336	-73.377457
3703.710938	-72.456955
3714.477539	-72.703278
3725.244141	-70.911621
3736.010742	-75.849663
3746.777344	-72.190590
3757.543945	-76.869698
3768.310547	-72.379135
3779.077148	-73.077057
3789.843750	-75.614609
3800.610352	-72.492798
3811.376953	-70.208061
3822.143555	-72.315323
3832.910156	-75.763794
3843.676758	-73.753166
3854.443359	-72.899223
3865.209961	-71.841446
3875.976562	-71.320549
3886.743164	-72.341835
3897.509766	-74.559753
3908.276367	-77.511398
3919.042969	-71.303680
3929.809570	-72.256592
3940.576172	-75.292793
3951.342773	-74.797707
3962.109375	-72.794060
3972.875977	-73.642639
3983.642578	-76.343071
3994.409180	-76.116837
4005.175781	-72.759590
4015.942383	-71.293091
4026.708984	-73.818459
4037.475586	-71.970276
4048.242188	-70.199837
4059.008789	-70.464172
4069.775391	-73.704308
4080.541992	-75.685707
4091.308594	-74.823090
4102.075195	-76.316414
4112.841797	-72.787880
4123.608398	-69.905991
4134.375000	-72.619690
4145.141602	-72.622292
4155.908203	-71.887901
4166.674805	-75.675781
4177.441406	-80.784042
4188.208008	-76.426994
4198.974609	-76.217644
4209.741211	-73.659966
4220.507812	-72.887383
4231.274414	-78.724785
4242.041016	-75.325165
4252.807617	-70.827538
4263.574219	-70.362137
4274.340820	-72.919991
4285.107422	-73.943161
4295.874023	-73.590424
4306.640625	-73.657211
4317.407227	-70.443390
4328.173828	-69.729759
4338.940430	-72.807076
4349.707031	-76.633209
4360.473633	-75.195107
4371.240234	-73.577042
4382.006836	-72.398590
4392.773438	-73.491974
4403.540039	-75.137306
4414.306641	-75.071434
4425.073242	-73.665619
4435.839844	-71.879395
4446.606445	-70.792885
4457.373047	-72.937065
4468.139648	-75.509804
4478.906250	-73.385773
4489.672852	-73.654892
4500.439453	-75.639664
4511.206055	-74.360909
4521.972656	-75.472504
4532.739258	-72.709373
4543.505859	-72.068901
4554.272461	-71.422401
4565.039062	-75.995010
4575.805664	-73.722069
4586.572266	-72.319122
4597.338867	-71.930611
4608.105469	-70.752533
4618.872070	-71.134903
4629.638672	-71.776794
4640.405273	-71.119316
4651.171875	-71.880569
4661.938477	-71.624123
4672.705078	-70.760818
4683.471680	-72.321701
4694.238281	-76.969299
4705.004883	-75.264511
4715.771484	-79.615974
4726.538086	-72.905907
4737.304688	-72.384483
4748.071289	-77.296883
4758.837891	-79.062035
4769.604492	-74.217224
4780.371094	-70.334618
4791.137695	-72.919144
4801.904297	-74.186363
4812.670898	-74.952423
4823.437500	-74.050034
4834.204102	-73.969223
4844.970703	-79.308914
4855.737305	-75.555466
4866.503906	-76.135948
4877.270508	-74.393463
4888.037109	-71.435020
4898.803711	-75.254066
4909.570312	-74.965782
4920.336914	-76.559097
4931.103516	-76.185677
4941.870117	-74.160751
4952.636719	-76.713264
4963.403320	-75.187691
4974.169922	-72.036888
4984.936523	-71.178131
4995.703125	-70.564873
5006.469727	-72.984726
5017.236328	-71.959045
5028.002930	-75.834511
5038.769531	-76.253212
5049.536133	-76.541817
5060.302734	-74.530579
5071.069336	-73.688217
5081.835938	-72.353058
5092.602539	-72.306732
5103.369141	-75.937935
5114.135742	-77.163078
5124.902344	-77.644943
5135.668945	-75.453537
5146.435547	-73.746651
5157.202148	-75.737976
5167.968750	-72.852341
5178.735352	-73.691902
5189.501953	-74.797134
5200.268555	-77.149673
5211.035156	-76.960953
5221.801758	-73.555000
5232.568359	-72.649277
5243.334961	-73.783699
5254.101562	-75.714355
5264.868164	-75.811249
5275.634766	-77.285095
5286.401367	-76.080566
5297.167969	-75.830536
5307.934570	-79.578812
5318.701172	-75.963577
5329.467773	-76.002159
5340.234375	-72.034767
5351.000977	-73.426811
5361.767578	-77.445068
5372.534180	-73.332352
5383.300781	-72.038933
5394.067383	-74.606773
5404.833984	-71.457428
5415.600586	-70.625290
5426.367188	-71.527184
5437.133789	-72.147263
5447.900391	-74.753242
5458.666992	-76.552437
5469.433594	-72.457336
5480.200195	-73.371552
5490.966797	-76.440758
5501.733398	-74.974388
5512.500000	-76.574440
5523.266602	-77.581268
5534.033203	-80.495827
5544.799805	-80.086212
5555.566406	-78.509964
5566.333008	-78.194084
5577.099609	-77.492432
5587.866211	-74.553200
5598.632812	-75.412590
5609.399414	-77.778969
5620.166016	-78.291145
5630.932617	-78.543129
5641.699219	-78.105988
5652.465820	-78.186920
5663.232422	-78.389435
5673.999023	-76.849274
5684.765625	-77.237877
5695.532227	-74.447556
5706.298828	-74.961243
5717.065430	-74.455421
5727.832031	-77.304314
5738.598633	-76.029152
5749.365234	-72.829178
5760.131836	-74.867912
5770.898438	-75.756836
5781.665039	-74.986610
5792.431641	-77.334152
5803.198242	-79.235405
5813.964844	-76.612656
5824.731445	-72.579887
5835.498047	-72.927864
5846.264648	-74.609261
5857.031250	-74.259529
5867.797852	-75.672691
5878.564453	-74.915550
5889.331055	-75.579025
5900.097656	-74.150749
5910.864258	-74.039497
5921.630859	-79.912445
5932.397461	-78.623756
5943.164062	-77.049461
5953.930664	-74.266182
5964.697266	-73.922768
5975.463867	-73.439026
5986.230469	-71.944298
5996.997070	-73.361542
6007.763672	-75.422646
6018.530273	-75.416374
6029.296875	-76.334114
6040.063477	-77.987030
6050.830078	-76.973427
6061.596680	-75.785889
6072.363281	-78.301186
6083.129883	-77.303864
6093.896484	-74.091599
6104.663086	-74.156105
6115.429688	-75.647942
6126.196289	-79.018639
6136.962891	-78.950531
6147.729492	-77.573219
6158.496094	-75.050140
6169.262695	-75.720345
6180.029297	-78.773750
6190.795898	-76.614868
6201.562500	-75.231750
6212.329102	-76.611687
6223.095703	-78.041824
6233.862305	-76.203896
6244.628906	-74.927696
6255.395508	-77.373665
6266.162109	-80.309914
6276.928711	-77.413956
6287.695312	-75.993370
6298.461914	-80.037193
6309.228516	-77.015709
6319.995117	-76.596054
6330.761719	-76.445793
6341.528320	-79.498062
6352.294922	-77.292007
6363.061523	-78.241188
6373.828125	-80.651443
6384.594727	-78.125404
6395.361328	-76.974205
6406.127930	-76.090065
6416.894531	-72.909912
6427.661133	-71.267586
6438.427734	-76.350388
6449.194336	-73.754364
6459.960938	-77.985825
6470.727539	-80.225555
6481.494141	-79.053825
6492.260742	-77.759964
6503.027344	-79.146919
6513.793945	-76.963028
6524.560547	-75.987289
6535.327148	-77.358940
6546.093750	-75.947144
6556.860352	-74.688354
6567.626953	-78.757004
6578.393555	-78.571938
6589.160156	-77.383141
6599.926758	-77.133072
6610.693359	-80.702950
6621.459961	-74.923996
6632.226562	-74.039536
6642.993164	-80.683998
6653.759766	-80.730545
6664.526367	-77.256882
6675.292969	-73.842857
6686.059570	-76.194328
6696.826172	-77.842285
6707.592773	-77.402031
6718.359375	-79.000626
6729.125977	-78.900230
