Frequency (Hz)	Level (dB)
2939.282227	-63.653004
2950.048828	-63.029701
2960.815430	-60.815460
2971.582031	-61.576675
2982.348633	-62.760509
2993.115234	-63.417114
3003.881836	-63.521278
3014.648438	-64.933159
3025.415039	-67.269058
3036.181641	-64.158661
3046.948242	-62.296535
3057.714844	-62.280586
3068.481445	-62.195629
3079.248047	-64.309990
3090.014648	-65.997543
3100.781250	-63.938351
3111.547852	-63.011349
3122.314453	-63.310936
3133.081055	-60.846676
3143.847656	-60.662849
3154.614258	-63.631306
3165.380859	-66.057770
3176.147461	-62.513206
3186.914062	-64.223412
3197.680664	-67.361336
3208.447266	-65.222710
3219.213867	-64.841476
3229.980469	-66.409477
3240.747070	-66.351700
3251.513672	-64.300659
3262.280273	-60.707386
3273.046875	-63.253838
3283.813477	-65.354439
3294.580078	-66.553329
3305.346680	-69.468307
3316.113281	-64.099899
3326.879883	-58.374584
3337.646484	-59.438694
3348.413086	-59.724472
3359.179688	-59.381645
3369.946289	-65.332626
3380.712891	-64.901672
3391.479492	-63.324585
3402.246094	-66.353043
3413.012695	-66.103096
3423.779297	-64.535942
3434.545898	-64.995872
3445.312500	-66.881348
3456.079102	-67.322060
3466.845703	-63.743980
3477.612305	-64.240105
3488.378906	-66.970993
3499.145508	-64.027992
3509.912109	-66.141823
3520.678711	-64.145500
3531.445312	-62.511185
3542.211914	-62.533630
3552.978516	-64.022888
3563.745117	-66.877670
3574.511719	-62.999233
3585.278320	-64.170937
3596.044922	-66.644417
3606.811523	-67.634583
3617.578125	-66.161896
3628.344727	-66.864304
3639.111328	-64.966263
3649.877930	-64.771072
3660.644531	-64.669159
3671.411133	-63.383625
3682.177734	-63.036373
3692.944336	-66.859924
3703.710938	-67.521538
3714.477539	-63.477665
3725.244141	-62.334160
3736.010742	-64.882645
3746.777344	-63.398678
3757.543945	-61.841774
3768.310547	-61.652905
3779.077148	-63.558407
3789.843750	-63.507973
3800.610352	-65.773300
3811.376953	-65.165047
3822.143555	-63.592571
3832.910156	-63.718857
3843.676758	-65.099220
3854.443359	-63.710884
3865.209961	-61.422840
3875.976562	-62.234631
3886.743164	-63.803879
3897.509766	-62.292847
3908.276367	-62.737099
3919.042969	-63.375668
3929.809570	-66.204926
3940.576172	-61.138233
3951.342773	-61.881989
3962.109375	-62.978027
3972.875977	-65.983070
3983.642578	-64.118004
3994.409180	-62.471996
4005.175781	-63.513882
4015.942383	-66.339569
4026.708984	-65.755394
4037.475586	-69.589317
4048.242188	-67.080566
4059.008789	-69.114601
4069.775391	-66.564888
4080.541992	-64.606339
4091.308594	-67.812561
4102.075195	-69.650795
4112.841797	-69.390671
4123.608398	-63.078129
4134.375000	-64.891525
4145.141602	-65.581184
4155.908203	-63.489372
4166.674805	-63.837490
4177.441406	-62.501369
4188.208008	-62.269016
4198.974609	-62.773552
4209.741211	-65.941673
4220.507812	-65.310432
4231.274414	-63.009892
4242.041016	-61.416786
4252.807617	-68.711365
4263.574219	-68.773277
4274.340820	-68.960274
4285.107422	-66.387558
4295.874023	-70.187576
4306.640625	-69.740074
4317.407227	-65.985237
4328.173828	-68.301331
4338.940430	-66.003853
4349.707031	-62.779884
4360.473633	-62.522499
4371.240234	-65.432129
4382.006836	-64.142830
4392.773438	-63.780640
4403.540039	-65.738312
4414.306641	-70.328972
4425.073242	-64.816132
4435.839844	-60.009388
4446.606445	-59.796440
4457.373047	-59.855953
4468.139648	-63.382179
4478.906250	-65.614052
4489.672852	-66.440659
4500.439453	-67.560608
4511.206055	-64.583076
4521.972656	-67.671577
4532.739258	-68.940422
4543.505859	-68.171051
4554.272461	-66.637085
4565.039062	-66.392891
4575.805664	-64.899261
4586.572266	-67.834541
4597.338867	-65.487946
4608.105469	-63.379669
4618.872070	-62.870609
4629.638672	-61.532887
4640.405273	-64.864792
4651.171875	-65.437531
4661.938477	-61.533699
4672.705078	-61.070660
4683.471680	-63.654049
4694.238281	-66.946609
4705.004883	-64.156403
4715.771484	-64.789116
4726.538086	-64.296394
4737.304688	-69.742271
4748.071289	-66.863777
4758.837891	-65.233337
4769.604492	-63.751732
4780.371094	-64.301079
4791.137695	-62.124557
4801.904297	-61.997570
4812.670898	-62.503548
4823.437500	-63.154827
4834.204102	-64.684349
4844.970703	-61.853138
4855.737305	-64.399956
