Frequency (Hz)	Level (dB)
10.766602	-48.567425
21.533203	-47.353359
32.299805	-46.789181
43.066406	-45.158817
53.833008	-45.391975
64.599609	-47.387653
75.366211	-42.332893
86.132812	-37.144859
96.899414	-34.458359
107.666016	-36.944824
118.432617	-40.174046
129.199219	-41.184288
139.965820	-40.745693
150.732422	-42.291237
161.499023	-45.008503
172.265625	-46.022018
183.032227	-46.305286
193.798828	-46.203526
204.565430	-44.282970
215.332031	-43.756538
226.098633	-43.614704
236.865234	-43.236477
247.631836	-43.252934
258.398438	-42.396851
269.165039	-41.029545
279.931641	-38.619804
290.698242	-38.630268
301.464844	-41.015877
312.231445	-42.921848
322.998047	-43.164463
333.764648	-43.699936
344.531250	-45.173195
355.297852	-44.748756
366.064453	-44.365139
376.831055	-44.299953
387.597656	-44.183846
398.364258	-44.487686
409.130859	-44.916897
419.897461	-45.465981
430.664062	-46.631496
441.430664	-47.504009
452.197266	-48.354977
462.963867	-48.443058
473.730469	-48.828838
484.497070	-49.489780
495.263672	-48.814056
506.030273	-46.819145
516.796875	-46.022999
527.563477	-46.427662
538.330078	-45.268784
549.096680	-43.724976
559.863281	-42.106007
570.629883	-41.641163
581.396484	-42.389927
592.163086	-42.414131
602.929688	-42.741337
613.696289	-43.884129
624.462891	-44.200676
635.229492	-43.872158
645.996094	-43.900085
656.762695	-42.640884
667.529297	-42.912762
678.295898	-43.834061
689.062500	-43.270226
699.829102	-43.079025
710.595703	-42.636040
721.362305	-40.183033
732.128906	-41.550011
742.895508	-44.463032
753.662109	-44.325649
764.428711	-44.199757
775.195312	-45.680931
785.961914	-45.814415
796.728516	-43.156105
807.495117	-42.917709
818.261719	-41.059494
829.028320	-39.672726
839.794922	-38.156845
850.561523	-38.487007
861.328125	-42.334827
872.094727	-44.752613
882.861328	-44.951931
893.627930	-43.645237
904.394531	-43.384022
915.161133	-45.029980
925.927734	-46.352951
936.694336	-47.760605
947.460938	-49.338127
958.227539	-47.829433
968.994141	-47.423882
979.760742	-46.759632
990.527344	-47.078518
1001.293945	-48.621029
1012.060547	-49.213070
1022.827148	-49.562683
1033.593750	-49.746304
1044.360352	-49.256989
1055.126953	-49.061050
1065.893555	-48.228310
1076.660156	-48.268604
1087.426758	-49.125927
1098.193359	-48.921528
1108.959961	-49.361355
1119.726562	-50.167633
1130.493164	-49.601727
1141.259766	-49.333477
1152.026367	-49.119690
1162.792969	-48.308659
1173.559570	-46.969791
1184.326172	-46.050232
1195.092773	-47.155735
1205.859375	-47.820580
1216.625977	-45.671455
1227.392578	-43.461071
1238.159180	-44.419525
1248.925781	-45.986233
1259.692383	-44.770931
1270.458984	-44.483624
1281.225586	-46.261139
1291.992188	-46.885483
1302.758789	-45.934452
1313.525391	-43.959713
1324.291992	-44.944519
1335.058594	-46.017677
1345.825195	-46.797176
1356.591797	-45.984150
1367.358398	-45.561970
1378.125000	-44.968563
1388.891602	-44.250568
1399.658203	-43.832630
1410.424805	-43.951675
1421.191406	-45.185646
1431.958008	-45.366215
1442.724609	-44.459839
1453.491211	-44.168839
1464.257812	-43.862427
1475.024414	-43.816830
1485.791016	-43.949986
1496.557617	-42.974342
1507.324219	-43.711018
1518.090820	-44.260799
1528.857422	-43.340698
1539.624023	-41.842892
1550.390625	-42.988602
1561.157227	-43.921135
1571.923828	-43.695602
1582.690430	-43.411968
1593.457031	-42.185966
1604.223633	-42.964039
1614.990234	-44.066780
1625.756836	-42.795952
1636.523438	-41.978004
1647.290039	-42.230999
1658.056641	-42.648960
1668.823242	-42.042271
1679.589844	-41.344864
1690.356445	-42.255474
1701.123047	-44.221573
1711.889648	-45.689796
1722.656250	-46.713848
1733.422852	-46.066689
1744.189453	-45.334438
1754.956055	-46.171001
1765.722656	-47.042866
1776.489258	-48.365822
1787.255859	-49.450191
1798.022461	-49.607914
1808.789062	-49.253735
1819.555664	-49.246780
1830.322266	-49.467506
1841.088867	-50.757328
1851.855469	-51.085968
1862.622070	-50.168362
1873.388672	-49.592606
1884.155273	-50.441658
1894.921875	-50.739265
1905.688477	-51.765026
1916.455078	-51.106441
1927.221680	-49.840042
1937.988281	-49.538227
1948.754883	-50.416187
1959.521484	-50.377769
1970.288086	-49.312103
1981.054688	-49.770569
1991.821289	-49.401409
2002.587891	-48.607433
2013.354492	-48.191525
2024.121094	-47.835758
2034.887695	-46.738152
2045.654297	-46.109936
2056.420898	-46.662895
2067.187500	-47.166439
2077.954102	-47.468166
2088.720703	-47.972645
2099.487305	-47.922642
2110.253906	-48.369213
2121.020508	-47.888008
2131.787109	-46.045757
2142.553711	-44.383636
2153.320312	-44.516525
2164.086914	-45.161854
2174.853516	-45.034653
2185.620117	-44.967541
2196.386719	-45.438744
2207.153320	-45.732674
2217.919922	-45.670216
2228.686523	-45.590515
2239.453125	-45.247913
2250.219727	-45.282894
2260.986328	-44.042904
2271.752930	-43.423622
2282.519531	-43.920979
2293.286133	-44.942684
2304.052734	-45.314575
2314.819336	-44.906528
2325.585938	-45.076900
2336.352539	-43.238850
2347.119141	-43.923706
2357.885742	-45.258549
2368.652344	-46.386677
2379.418945	-44.757633
2390.185547	-44.531120
2400.952148	-45.613297
2411.718750	-44.772835
2422.485352	-44.208252
2433.251953	-44.449070
2444.018555	-44.779419
2454.785156	-45.087833
2465.551758	-45.061588
2476.318359	-44.624947
2487.084961	-45.087551
2497.851562	-45.927830
2508.618164	-46.001389
2519.384766	-45.670383
2530.151367	-46.120262
2540.917969	-45.714127
2551.684570	-46.269836
2562.451172	-46.978390
2573.217773	-46.393963
2583.984375	-46.181053
2594.750977	-46.318150
2605.517578	-46.494423
2616.284180	-46.185146
2627.050781	-45.398762
2637.817383	-46.311054
2648.583984	-46.850513
2659.350586	-47.339306
2670.117188	-47.928921
2680.883789	-48.728184
2691.650391	-49.308800
2702.416992	-49.061520
2713.183594	-49.397015
2723.950195	-50.534634
2734.716797	-51.124977
2745.483398	-51.074818
2756.250000	-50.311192
2767.016602	-50.559341
2777.783203	-51.604050
2788.549805	-52.379486
2799.316406	-52.728634
2810.083008	-53.266277
2820.849609	-53.469368
2831.616211	-53.687305
2842.382812	-54.468945
2853.149414	-53.691990
2863.916016	-53.660118
2874.682617	-54.709400
2885.449219	-54.603893
2896.215820	-54.380787
2906.982422	-54.229053
2917.749023	-54.699451
2928.515625	-55.502319
2939.282227	-55.384396
2950.048828	-55.401146
