Frequency (Hz)	Level (dB)
10.766602	-48.763077
21.533203	-47.357025
32.299805	-46.866840
43.066406	-45.234566
53.833008	-45.437649
64.599609	-47.497459
75.366211	-42.403366
86.132812	-37.163090
96.899414	-34.468937
107.666016	-36.952492
118.432617	-40.208305
129.199219	-41.216526
139.965820	-40.766144
150.732422	-42.314388
161.499023	-45.035549
172.265625	-46.049667
183.032227	-46.390316
193.798828	-46.249451
204.565430	-44.308411
215.332031	-43.843880
226.098633	-43.628536
236.865234	-43.156223
247.631836	-43.194317
258.398438	-42.383450
269.165039	-41.053829
279.931641	-38.617382
290.698242	-38.666782
301.464844	-41.073624
312.231445	-42.977295
322.998047	-43.230297
333.764648	-43.684479
344.531250	-45.224319
355.297852	-44.704258
366.064453	-44.357590
376.831055	-44.375755
387.597656	-44.187523
398.364258	-44.487862
409.130859	-44.993782
419.897461	-45.503876
430.664062	-46.727837
441.430664	-47.540726
452.197266	-48.359989
462.963867	-48.609791
473.730469	-49.022865
484.497070	-49.601067
495.263672	-48.939705
506.030273	-46.982098
516.796875	-46.100716
527.563477	-46.463264
538.330078	-45.288719
549.096680	-43.750786
559.863281	-42.093784
570.629883	-41.650757
581.396484	-42.450020
592.163086	-42.493038
602.929688	-42.800121
613.696289	-43.960297
624.462891	-44.288681
635.229492	-43.896992
645.996094	-43.946285
656.762695	-42.703815
667.529297	-42.950970
678.295898	-43.928242
689.062500	-43.436771
699.829102	-43.123951
710.595703	-42.677921
721.362305	-40.193657
732.128906	-41.527523
742.895508	-44.511597
753.662109	-44.323540
764.428711	-44.181698
775.195312	-45.685886
785.961914	-45.877789
796.728516	-43.192970
807.495117	-42.924671
818.261719	-41.129833
829.028320	-39.664619
839.794922	-38.113712
850.561523	-38.490540
861.328125	-42.382084
872.094727	-44.765400
882.861328	-44.901123
893.627930	-43.615940
904.394531	-43.350704
915.161133	-45.080666
925.927734	-46.441860
936.694336	-47.896721
947.460938	-49.552658
958.227539	-47.759747
968.994141	-47.375717
979.760742	-46.884182
990.527344	-47.316257
1001.293945	-48.865025
1012.060547	-49.244328
1022.827148	-49.608242
1033.593750	-49.817696
1044.360352	-49.491470
1055.126953	-49.298561
1065.893555	-48.270035
1076.660156	-48.288528
1087.426758	-49.205334
1098.193359	-49.124825
1108.959961	-49.512699
1119.726562	-50.383064
1130.493164	-49.694027
1141.259766	-49.407192
1152.026367	-49.183430
1162.792969	-48.355946
1173.559570	-46.967346
1184.326172	-46.102253
1195.092773	-47.281834
1205.859375	-47.920536
1216.625977	-45.643261
1227.392578	-43.466919
1238.159180	-44.476109
1248.925781	-46.093929
1259.692383	-44.795002
1270.458984	-44.497707
1281.225586	-46.285774
1291.992188	-47.056911
1302.758789	-45.965012
1313.525391	-43.901340
1324.291992	-44.935627
1335.058594	-46.132790
1345.825195	-46.880421
1356.591797	-46.028858
1367.358398	-45.625942
1378.125000	-44.993774
1388.891602	-44.302967
1399.658203	-43.814266
1410.424805	-43.915504
1421.191406	-45.233353
1431.958008	-45.591259
1442.724609	-44.657364
1453.491211	-44.288475
1464.257812	-43.969757
1475.024414	-43.898266
1485.791016	-44.026226
1496.557617	-43.026173
1507.324219	-43.701523
1518.090820	-44.308723
1528.857422	-43.352783
1539.624023	-41.846989
1550.390625	-42.974152
1561.157227	-43.984852
1571.923828	-43.778187
1582.690430	-43.487347
1593.457031	-42.215237
1604.223633	-43.019417
1614.990234	-44.161053
1625.756836	-42.895901
1636.523438	-42.084354
1647.290039	-42.317089
1658.056641	-42.735764
1668.823242	-42.137508
1679.589844	-41.404732
1690.356445	-42.346081
1701.123047	-44.319592
1711.889648	-45.737732
1722.656250	-46.810925
1733.422852	-46.255318
1744.189453	-45.463734
1754.956055	-46.192127
1765.722656	-47.047955
1776.489258	-48.409210
1787.255859	-49.621445
1798.022461	-49.834084
1808.789062	-49.351551
1819.555664	-49.334743
1830.322266	-49.706982
1841.088867	-51.090168
1851.855469	-51.376698
1862.622070	-50.294563
1873.388672	-49.791866
1884.155273	-50.685783
1894.921875	-50.828529
1905.688477	-52.086708
1916.455078	-51.428703
1927.221680	-49.859097
1937.988281	-49.588589
1948.754883	-50.688976
1959.521484	-50.529224
1970.288086	-49.409454
1981.054688	-49.837521
1991.821289	-49.534702
2002.587891	-48.727383
2013.354492	-48.299435
2024.121094	-47.879578
2034.887695	-46.795444
2045.654297	-46.261135
2056.420898	-46.879433
2067.187500	-47.215771
2077.954102	-47.566841
2088.720703	-47.995605
2099.487305	-48.019375
2110.253906	-48.496033
2121.020508	-47.964062
2131.787109	-46.089149
2142.553711	-44.478317
2153.320312	-44.627869
2164.086914	-45.260384
2174.853516	-45.105888
2185.620117	-44.994499
2196.386719	-45.470638
2207.153320	-45.726082
2217.919922	-45.703743
2228.686523	-45.627460
2239.453125	-45.347992
2250.219727	-45.399460
2260.986328	-44.092560
2271.752930	-43.489567
2282.519531	-44.042854
2293.286133	-44.990925
2304.052734	-45.354557
2314.819336	-44.950089
2325.585938	-45.098419
2336.352539	-43.279472
2347.119141	-43.983459
2357.885742	-45.280224
2368.652344	-46.462681
2379.418945	-44.784496
2390.185547	-44.547611
2400.952148	-45.719166
2411.718750	-44.767887
2422.485352	-44.227837
2433.251953	-44.469265
2444.018555	-44.841892
2454.785156	-45.145782
2465.551758	-45.072914
2476.318359	-44.717449
2487.084961	-45.198635
2497.851562	-46.088020
2508.618164	-46.129021
2519.384766	-45.704269
2530.151367	-46.182777
2540.917969	-45.721844
2551.684570	-46.298615
2562.451172	-47.019951
2573.217773	-46.487736
2583.984375	-46.303596
2594.750977	-46.352806
2605.517578	-46.562622
2616.284180	-46.180298
2627.050781	-45.407478
2637.817383	-46.427650
2648.583984	-47.025242
2659.350586	-47.445572
2670.117188	-48.005203
2680.883789	-48.925606
2691.650391	-49.476921
2702.416992	-49.250973
2713.183594	-49.628807
2723.950195	-50.879284
2734.716797	-51.488380
2745.483398	-51.364765
2756.250000	-50.542427
2767.016602	-50.855595
2777.783203	-51.969318
2788.549805	-52.764889
2799.316406	-53.080879
2810.083008	-53.696926
2820.849609	-54.092281
2831.616211	-54.020874
2842.382812	-54.783569
2853.149414	-54.055275
2863.916016	-54.297832
2874.682617	-55.439720
2885.449219	-55.508572
2896.215820	-55.122501
2906.982422	-54.588627
2917.749023	-55.290100
2928.515625	-56.311642
2939.282227	-55.998962
2950.048828	-56.018520
2960.815430	-54.946400
2971.582031	-54.708378
2982.348633	-56.078247
2993.115234	-56.440773
3003.881836	-55.337395
3014.648438	-54.957348
3025.415039	-54.786430
3036.181641	-55.130466
3046.948242	-56.510117
3057.714844	-56.030804
3068.481445	-56.321167
3079.248047	-55.422771
3090.014648	-55.130116
3100.781250	-55.706272
3111.547852	-55.586288
3122.314453	-54.554585
3133.081055	-54.058445
3143.847656	-53.480003
3154.614258	-52.859653
3165.380859	-53.373024
3176.147461	-53.413113
3186.914062	-53.279659
3197.680664	-51.640026
3208.447266	-51.795860
3219.213867	-52.638180
3229.980469	-52.133736
3240.747070	-52.398666
3251.513672	-52.986240
3262.280273	-52.870125
3273.046875	-52.862755
3283.813477	-53.134590
3294.580078	-52.758053
3305.346680	-52.169849
3316.113281	-52.626423
3326.879883	-52.402786
3337.646484	-52.622280
3348.413086	-53.581245
3359.179688	-53.806259
3369.946289	-53.670044
3380.712891	-54.285748
3391.479492	-55.343193
3402.246094	-54.256439
3413.012695	-53.081215
3423.779297	-53.259975
3434.545898	-53.606281
3445.312500	-53.751926
3456.079102	-53.911526
3466.845703	-54.784847
3477.612305	-55.240383
3488.378906	-54.817463
3499.145508	-54.344212
3509.912109	-53.378357
3520.678711	-53.275471
3531.445312	-54.140675
3542.211914	-54.889824
3552.978516	-54.698120
3563.745117	-54.542278
3574.511719	-54.311844
3585.278320	-53.946110
3596.044922	-54.255424
3606.811523	-54.038551
3617.578125	-54.294144
3628.344727	-54.113209
3639.111328	-54.333511
3649.877930	-51.975285
3660.644531	-52.056675
3671.411133	-54.259396
3682.177734	-55.418251
3692.944336	-55.210567
3703.710938	-54.604950
3714.477539	-55.322014
3725.244141	-55.886147
3736.010742	-55.907642
3746.777344	-56.566349
3757.543945	-57.213253
3768.310547	-57.482189
3779.077148	-57.872845
3789.843750	-57.444729
3800.610352	-57.494694
3811.376953	-57.554707
3822.143555	-57.873131
3832.910156	-58.476723
3843.676758	-58.245964
3854.443359	-58.519264
3865.209961	-58.823444
3875.976562	-58.996346
3886.743164	-58.506313
3897.509766	-59.165070
3908.276367	-59.678474
3919.042969	-59.892838
3929.809570	-59.501453
3940.576172	-59.195335
3951.342773	-59.703274
3962.109375	-59.024639
3972.875977	-58.845409
3983.642578	-58.715500
3994.409180	-58.853603
4005.175781	-59.358120
4015.942383	-60.199146
4026.708984	-60.296860
4037.475586	-59.883533
4048.242188	-59.487617
4059.008789	-60.307278
4069.775391	-60.698818
4080.541992	-60.283379
4091.308594	-61.296577
4102.075195	-60.325287
4112.841797	-59.607563
4123.608398	-59.845974
4134.375000	-59.591545
4145.141602	-60.022736
4155.908203	-59.808270
4166.674805	-59.096169
4177.441406	-59.138542
4188.208008	-59.408676
4198.974609	-59.601421
4209.741211	-59.966270
4220.507812	-59.709518
4231.274414	-59.887260
4242.041016	-60.093960
4252.807617	-59.443844
4263.574219	-59.476936
4274.340820	-60.030418
4285.107422	-60.041969
4295.874023	-60.104649
4306.640625	-59.853752
4317.407227	-58.582218
4328.173828	-59.652245
4338.940430	-60.618958
4349.707031	-60.136250
4360.473633	-60.218815
4371.240234	-59.313969
4382.006836	-59.642681
4392.773438	-60.392170
4403.540039	-59.325878
4414.306641	-59.470608
4425.073242	-60.302345
4435.839844	-60.229980
4446.606445	-59.826378
4457.373047	-59.652164
4468.139648	-59.891705
4478.906250	-59.054390
4489.672852	-59.290440
4500.439453	-58.951283
4511.206055	-59.404015
4521.972656	-59.181168
4532.739258	-58.801624
4543.505859	-59.212421
4554.272461	-59.780373
4565.039062	-59.424423
4575.805664	-59.124081
4586.572266	-59.001522
4597.338867	-60.030140
4608.105469	-59.930546
4618.872070	-58.853596
4629.638672	-59.508282
4640.405273	-60.061447
4651.171875	-60.129021
4661.938477	-60.046349
4672.705078	-59.337074
4683.471680	-59.153034
4694.238281	-59.030735
4705.004883	-59.528828
4715.771484	-59.131134
4726.538086	-59.073792
4737.304688	-58.864067
4748.071289	-59.136494
4758.837891	-57.202065
4769.604492	-56.628231
4780.371094	-57.186020
4791.137695	-58.195606
4801.904297	-58.230164
4812.670898	-58.314880
4823.437500	-58.641846
4834.204102	-58.486267
4844.970703	-57.844364
4855.737305	-58.207561
4866.503906	-58.517651
4877.270508	-58.983097
4888.037109	-58.674965
4898.803711	-58.093227
4909.570312	-58.224068
4920.336914	-59.239338
4931.103516	-59.743126
4941.870117	-59.655853
4952.636719	-59.309395
4963.403320	-59.687862
4974.169922	-59.283321
4984.936523	-59.296566
4995.703125	-59.779160
5006.469727	-59.994957
5017.236328	-59.932171
5028.002930	-59.434372
5038.769531	-59.395569
5049.536133	-59.324696
5060.302734	-59.653450
5071.069336	-60.016239
5081.835938	-60.290558
5092.602539	-59.758495
5103.369141	-59.931572
5114.135742	-60.589226
5124.902344	-60.230034
5135.668945	-60.760586
5146.435547	-61.035511
5157.202148	-60.550709
5167.968750	-59.889069
5178.735352	-59.202621
5189.501953	-60.401134
5200.268555	-61.328911
5211.035156	-61.027008
5221.801758	-61.280411
5232.568359	-61.193794
5243.334961	-60.546947
5254.101562	-60.627312
5264.868164	-61.021679
5275.634766	-60.853386
5286.401367	-60.967682
5297.167969	-61.614262
5307.934570	-61.791649
5318.701172	-61.723755
5329.467773	-61.720901
5340.234375	-61.545265
5351.000977	-60.413395
5361.767578	-59.969337
5372.534180	-61.033875
5383.300781	-61.344406
5394.067383	-62.169388
5404.833984	-61.925095
5415.600586	-60.728947
5426.367188	-60.933475
5437.133789	-61.648563
5447.900391	-62.386246
5458.666992	-60.987896
5469.433594	-60.326874
5480.200195	-60.406754
5490.966797	-60.104050
5501.733398	-60.864635
5512.500000	-61.214260
5523.266602	-61.180851
5534.033203	-61.011635
5544.799805	-61.009220
5555.566406	-60.668156
5566.333008	-60.146019
5577.099609	-59.901520
5587.866211	-59.299088
5598.632812	-59.504650
5609.399414	-59.332516
5620.166016	-59.584042
5630.932617	-60.618366
5641.699219	-60.306290
5652.465820	-59.869949
5663.232422	-59.876377
5673.999023	-59.175549
5684.765625	-58.691750
5695.532227	-59.255253
5706.298828	-59.538898
5717.065430	-60.048969
5727.832031	-59.678596
5738.598633	-59.401176
5749.365234	-59.872204
5760.131836	-61.378006
5770.898438	-60.172203
5781.665039	-59.615772
5792.431641	-60.100204
5803.198242	-60.545380
5813.964844	-60.286682
5824.731445	-60.762142
5835.498047	-60.475994
5846.264648	-59.972885
5857.031250	-59.217911
5867.797852	-59.672356
5878.564453	-59.847767
5889.331055	-59.849529
5900.097656	-60.513969
5910.864258	-59.860237
5921.630859	-59.232441
5932.397461	-60.843346
5943.164062	-61.269367
5953.930664	-60.321152
5964.697266	-60.494858
5975.463867	-60.626419
5986.230469	-60.855152
5996.997070	-60.815685
6007.763672	-60.583275
6018.530273	-60.219643
6029.296875	-61.234749
6040.063477	-61.433052
6050.830078	-61.459553
6061.596680	-60.924397
6072.363281	-60.647522
6083.129883	-60.944111
6093.896484	-60.546265
6104.663086	-61.467175
6115.429688	-62.042725
6126.196289	-61.401100
6136.962891	-61.927509
6147.729492	-62.735672
6158.496094	-62.258003
6169.262695	-61.809254
6180.029297	-62.157116
6190.795898	-61.773178
6201.562500	-61.408905
6212.329102	-61.350204
6223.095703	-61.423809
6233.862305	-61.353268
6244.628906	-61.647259
6255.395508	-61.197021
6266.162109	-61.815907
6276.928711	-60.959038
6287.695312	-60.453941
6298.461914	-61.206936
6309.228516	-61.335331
6319.995117	-61.279545
6330.761719	-61.283081
6341.528320	-60.445911
6352.294922	-60.340218
6363.061523	-61.432301
6373.828125	-61.441738
6384.594727	-62.023151
6395.361328	-61.724190
6406.127930	-61.405056
6416.894531	-62.034138
6427.661133	-61.739655
6438.427734	-61.645859
6449.194336	-61.254631
6459.960938	-61.484798
6470.727539	-61.879112
6481.494141	-61.168472
6492.260742	-61.347385
6503.027344	-61.315792
6513.793945	-60.938599
6524.560547	-60.628559
6535.327148	-60.741428
6546.093750	-61.348072
6556.860352	-61.110264
6567.626953	-60.876579
6578.393555	-60.835735
6589.160156	-61.627354
6599.926758	-61.014465
6610.693359	-61.289677
6621.459961	-61.374054
6632.226562	-61.962425
6642.993164	-61.482010
6653.759766	-61.915993
6664.526367	-62.611061
6675.292969	-62.397629
6686.059570	-61.332188
6696.826172	-61.476322
6707.592773	-60.496220
6718.359375	-60.125874
6729.125977	-60.777119
6739.892578	-61.015053
6750.659180	-61.351437
6761.425781	-60.211693
6772.192383	-59.953262
6782.958984	-60.630699
6793.725586	-60.971085
6804.492188	-60.936733
6815.258789	-61.232838
6826.025391	-60.872250
6836.791992	-61.337833
6847.558594	-60.282993
6858.325195	-60.461288
6869.091797	-61.305237
6879.858398	-61.211777
6890.625000	-61.198078
6901.391602	-61.399307
6912.158203	-60.935322
6922.924805	-61.732609
6933.691406	-60.712803
6944.458008	-60.356586
6955.224609	-61.005112
6965.991211	-61.934299
6976.757812	-61.346413
6987.524414	-62.030144
6998.291016	-61.787548
7009.057617	-60.904263
7019.824219	-60.425274
7030.590820	-60.503174
7041.357422	-61.236095
7052.124023	-60.468121
7062.890625	-61.424747
7073.657227	-61.255066
7084.423828	-60.969830
7095.190430	-61.177090
7105.957031	-60.652370
7116.723633	-60.837872
7127.490234	-61.160313
7138.256836	-60.722614
7149.023438	-61.417759
7159.790039	-60.837738
7170.556641	-61.007751
7181.323242	-60.666462
7192.089844	-60.490967
7202.856445	-60.639919
7213.623047	-61.163673
7224.389648	-61.229507
7235.156250	-61.041176
7245.922852	-60.521702
7256.689453	-60.523247
7267.456055	-60.081554
7278.222656	-59.148148
7288.989258	-59.213161
7299.755859	-59.595104
7310.522461	-59.806068
7321.289062	-60.471519
7332.055664	-60.966454
7342.822266	-61.595928
7353.588867	-61.197987
7364.355469	-60.175358
7375.122070	-59.528343
7385.888672	-59.413555
7396.655273	-59.332443
7407.421875	-59.864628
7418.188477	-60.430122
7428.955078	-60.895672
7439.721680	-61.266567
7450.488281	-60.745766
7461.254883	-60.791256
7472.021484	-61.232883
7482.788086	-59.966164
7493.554688	-60.170315
7504.321289	-60.398655
7515.087891	-60.597137
7525.854492	-60.694824
7536.621094	-61.655045
7547.387695	-62.226440
7558.154297	-61.931095
7568.920898	-61.340031
7579.687500	-60.481644
7590.454102	-60.488174
7601.220703	-61.233509
7611.987305	-61.276051
7622.753906	-60.656277
7633.520508	-60.360161
7644.287109	-60.330032
7655.053711	-61.379032
7665.820312	-60.968723
7676.586914	-61.005913
7687.353516	-62.199898
7698.120117	-61.593548
7708.886719	-59.813068
7719.653320	-60.157078
7730.419922	-61.430496
7741.186523	-62.156681
7751.953125	-61.678665
7762.719727	-61.674873
7773.486328	-61.894882
7784.252930	-61.312050
7795.019531	-61.458820
7805.786133	-60.641102
7816.552734	-60.951141
7827.319336	-61.880608
7838.085938	-61.498226
7848.852539	-61.255997
7859.619141	-60.621017
7870.385742	-60.601822
7881.152344	-60.951626
7891.918945	-60.696690
7902.685547	-58.979782
