Frequency (Hz)	Level (dB)
2939.282227	-56.926437
2950.048828	-57.006943
2960.815430	-55.570553
2971.582031	-55.108070
2982.348633	-56.804264
2993.115234	-57.199829
3003.881836	-55.989178
3014.648438	-55.397743
3025.415039	-55.452198
3036.181641	-55.885494
3046.948242	-57.618580
3057.714844	-57.116623
3068.481445	-57.269218
3079.248047	-56.267658
3090.014648	-56.190384
3100.781250	-56.806953
3111.547852	-56.455578
3122.314453	-55.099724
3133.081055	-54.637215
3143.847656	-54.216640
3154.614258	-53.377483
3165.380859	-53.976421
3176.147461	-53.911476
3186.914062	-53.745464
3197.680664	-52.034676
3208.447266	-52.253471
3219.213867	-53.145332
3229.980469	-52.705948
3240.747070	-52.992859
3251.513672	-53.571796
3262.280273	-53.231049
3273.046875	-53.470978
3283.813477	-53.800224
3294.580078	-53.176441
3305.346680	-52.376328
3316.113281	-52.824883
3326.879883	-52.884632
3337.646484	-53.131191
3348.413086	-54.219566
3359.179688	-54.516544
3369.946289	-54.470989
3380.712891	-54.933723
3391.479492	-56.199589
3402.246094	-55.139030
3413.012695	-53.794876
3423.779297	-53.789169
3434.545898	-54.158897
3445.312500	-54.376163
3456.079102	-54.507900
3466.845703	-55.382748
3477.612305	-55.973125
3488.378906	-55.475368
3499.145508	-55.059467
3509.912109	-53.840176
3520.678711	-53.614605
3531.445312	-54.728439
3542.211914	-55.542576
3552.978516	-55.156162
3563.745117	-55.131798
3574.511719	-55.175549
3585.278320	-54.510189
3596.044922	-55.043015
3606.811523	-54.767330
3617.578125	-54.739845
3628.344727	-54.447361
3639.111328	-54.769970
3649.877930	-52.309044
3660.644531	-52.397957
3671.411133	-54.982250
3682.177734	-56.530689
3692.944336	-56.129539
3703.710938	-55.637432
3714.477539	-56.340107
3725.244141	-56.990570
3736.010742	-57.065319
3746.777344	-57.539207
3757.543945	-58.470993
3768.310547	-58.405289
3779.077148	-59.073662
3789.843750	-58.709896
3800.610352	-58.721909
3811.376953	-59.209919
3822.143555	-60.060368
3832.910156	-60.147259
3843.676758	-59.725407
3854.443359	-59.929768
3865.209961	-60.863323
3875.976562	-61.341507
3886.743164	-61.566902
3897.509766	-61.151081
3908.276367	-61.303814
3919.042969	-61.516758
3929.809570	-62.005428
3940.576172	-62.014740
3951.342773	-61.317650
3962.109375	-60.774906
3972.875977	-60.635223
3983.642578	-61.001610
3994.409180	-61.280262
4005.175781	-61.957951
4015.942383	-62.606983
4026.708984	-63.018036
4037.475586	-62.984352
4048.242188	-63.106956
4059.008789	-63.272755
4069.775391	-63.359444
4080.541992	-63.547226
4091.308594	-63.821171
4102.075195	-63.112896
4112.841797	-62.027222
4123.608398	-61.657101
4134.375000	-61.457664
4145.141602	-62.144951
4155.908203	-62.612640
4166.674805	-62.387466
4177.441406	-62.027130
4188.208008	-62.191887
4198.974609	-62.828438
4209.741211	-62.799492
4220.507812	-62.615768
4231.274414	-63.162048
4242.041016	-63.096722
4252.807617	-62.906635
4263.574219	-63.558064
4274.340820	-63.168785
4285.107422	-62.867725
4295.874023	-62.271076
4306.640625	-62.591545
4317.407227	-62.039814
4328.173828	-63.568836
4338.940430	-64.538589
4349.707031	-63.766563
4360.473633	-63.045040
4371.240234	-62.473949
4382.006836	-62.693665
4392.773438	-62.673664
4403.540039	-61.921337
4414.306641	-62.333675
4425.073242	-63.580463
4435.839844	-63.171509
4446.606445	-62.708652
4457.373047	-63.223583
4468.139648	-63.433548
4478.906250	-61.661285
4489.672852	-62.171227
4500.439453	-62.439823
4511.206055	-62.276939
4521.972656	-62.194393
4532.739258	-61.472195
4543.505859	-62.708817
4554.272461	-63.400932
4565.039062	-62.230267
4575.805664	-61.692482
4586.572266	-62.155678
4597.338867	-62.456776
4608.105469	-62.781265
4618.872070	-62.322105
4629.638672	-62.842934
4640.405273	-63.551151
4651.171875	-63.245659
4661.938477	-62.448227
4672.705078	-61.515938
4683.471680	-60.979935
4694.238281	-60.955803
4705.004883	-61.334030
4715.771484	-61.055897
4726.538086	-61.087376
4737.304688	-60.735695
4748.071289	-61.240841
4758.837891	-59.105167
4769.604492	-58.465576
4780.371094	-59.025677
4791.137695	-60.112625
4801.904297	-60.364960
4812.670898	-60.577904
4823.437500	-60.676758
4834.204102	-59.995304
4844.970703	-59.498577
4855.737305	-59.798309
4866.503906	-60.715019
4877.270508	-61.320530
4888.037109	-61.510254
4898.803711	-61.714088
4909.570312	-60.693089
4920.336914	-61.304722
4931.103516	-61.868332
4941.870117	-61.437881
4952.636719	-61.717697
4963.403320	-63.787861
4974.169922	-63.209919
4984.936523	-63.377972
4995.703125	-63.255867
5006.469727	-63.273716
5017.236328	-63.776142
5028.002930	-62.872223
5038.769531	-62.757858
5049.536133	-62.505867
5060.302734	-62.664326
5071.069336	-62.981926
5081.835938	-63.663860
5092.602539	-63.579868
5103.369141	-63.614819
5114.135742	-64.255547
5124.902344	-64.764435
5135.668945	-65.178062
5146.435547	-63.929832
5157.202148	-63.409077
5167.968750	-63.583809
