Frequency (Hz)	Level (dB)
10.766602	-53.290192
21.533203	-54.155735
32.299805	-61.192478
43.066406	-61.619930
53.833008	-60.853806
64.599609	-56.077671
75.366211	-54.261810
86.132812	-55.662258
96.899414	-57.366234
107.666016	-59.359558
118.432617	-59.771126
129.199219	-60.889729
139.965820	-57.285656
150.732422	-58.553406
161.499023	-59.377419
172.265625	-59.217205
183.032227	-57.634136
193.798828	-56.679840
204.565430	-58.843063
215.332031	-56.275333
226.098633	-55.582714
236.865234	-59.006638
247.631836	-59.489704
258.398438	-57.173717
269.165039	-57.495251
279.931641	-56.974503
290.698242	-55.065639
301.464844	-58.856838
312.231445	-59.589592
322.998047	-61.339584
333.764648	-59.929993
344.531250	-60.344524
355.297852	-59.652607
366.064453	-56.700329
376.831055	-59.150284
387.597656	-61.024704
398.364258	-59.567181
409.130859	-61.813717
419.897461	-62.641537
430.664062	-61.369957
441.430664	-58.389416
452.197266	-60.115597
462.963867	-60.323719
473.730469	-62.129906
484.497070	-59.207985
495.263672	-57.055592
506.030273	-57.256828
516.796875	-56.338463
527.563477	-60.986713
538.330078	-63.122131
549.096680	-60.069782
559.863281	-57.429691
570.629883	-57.365822
581.396484	-59.127953
592.163086	-60.625530
602.929688	-65.120163
613.696289	-60.962093
624.462891	-60.805641
635.229492	-61.001469
645.996094	-60.504658
656.762695	-56.851467
667.529297	-56.246521
678.295898	-58.474487
689.062500	-60.472618
699.829102	-59.324059
710.595703	-58.082531
721.362305	-57.684025
732.128906	-58.163715
742.895508	-61.466095
753.662109	-67.225128
764.428711	-61.751144
775.195312	-59.227760
785.961914	-58.487572
796.728516	-58.317291
807.495117	-59.092709
818.261719	-58.933594
829.028320	-58.600502
839.794922	-61.301289
850.561523	-62.265953
861.328125	-63.108047
872.094727	-58.576477
882.861328	-59.166714
893.627930	-61.844849
904.394531	-58.797676
915.161133	-57.090401
925.927734	-59.327610
936.694336	-60.789669
947.460938	-62.793945
958.227539	-58.937298
968.994141	-59.045914
979.760742	-61.178150
990.527344	-61.288445
1001.293945	-60.710331
1012.060547	-64.448334
1022.827148	-64.025551
1033.593750	-62.333672
1044.360352	-61.452427
1055.126953	-60.136726
1065.893555	-59.139698
1076.660156	-59.498569
1087.426758	-62.662220
1098.193359	-62.746300
1108.959961	-60.964531
1119.726562	-59.312038
1130.493164	-59.205608
1141.259766	-61.591011
1152.026367	-64.017822
1162.792969	-61.587418
1173.559570	-59.735268
1184.326172	-59.461666
1195.092773	-59.992455
1205.859375	-58.676491
1216.625977	-59.154160
1227.392578	-59.837112
1238.159180	-60.474064
1248.925781	-60.832447
1259.692383	-61.048100
1270.458984	-59.544434
1281.225586	-58.477760
1291.992188	-58.406116
1302.758789	-56.689827
1313.525391	-61.195885
1324.291992	-65.396751
1335.058594	-62.493954
1345.825195	-60.026196
1356.591797	-59.809422
1367.358398	-66.206451
1378.125000	-59.176743
1388.891602	-55.558910
1399.658203	-57.737411
1410.424805	-60.953392
1421.191406	-62.636402
1431.958008	-62.387127
1442.724609	-61.546661
1453.491211	-58.973736
1464.257812	-60.612659
1475.024414	-60.533062
1485.791016	-58.442280
1496.557617	-59.558994
1507.324219	-57.087601
1518.090820	-59.344299
