Frequency (Hz)	Level (dB)
10.766602	-34.897175
21.533203	-36.355572
32.299805	-36.474751
43.066406	-28.542469
53.833008	-20.596888
64.599609	-16.708755
75.366211	-15.002898
86.132812	-18.978735
96.899414	-26.238573
107.666016	-27.324654
118.432617	-26.129261
129.199219	-22.593140
139.965820	-20.260319
150.732422	-23.634211
161.499023	-31.393099
172.265625	-35.521156
183.032227	-36.865364
193.798828	-35.918556
204.565430	-33.290489
215.332031	-30.630983
226.098633	-30.168026
236.865234	-32.337597
247.631836	-35.231564
258.398438	-36.276581
269.165039	-36.189053
279.931641	-34.702843
290.698242	-34.417015
301.464844	-34.223457
312.231445	-33.748028
322.998047	-34.758259
333.764648	-35.781281
344.531250	-36.678917
355.297852	-35.909878
366.064453	-33.050800
376.831055	-30.791399
387.597656	-30.537815
398.364258	-31.796759
409.130859	-34.428127
419.897461	-37.264927
430.664062	-38.632648
441.430664	-39.426517
452.197266	-39.420498
462.963867	-38.799641
473.730469	-37.911457
484.497070	-38.023983
495.263672	-39.622051
506.030273	-41.581230
516.796875	-42.396210
527.563477	-42.602467
538.330078	-42.105907
549.096680	-41.032398
559.863281	-39.999714
570.629883	-39.701443
581.396484	-39.964424
592.163086	-39.867455
602.929688	-40.095684
613.696289	-40.987350
624.462891	-41.368393
635.229492	-41.730118
645.996094	-41.981522
656.762695	-41.153900
667.529297	-41.226547
678.295898	-41.616764
689.062500	-41.449070
699.829102	-41.347027
710.595703	-41.416210
721.362305	-39.663078
732.128906	-41.140919
742.895508	-44.020508
753.662109	-43.715839
764.428711	-43.557068
775.195312	-44.824879
785.961914	-45.019630
796.728516	-42.712353
807.495117	-42.563332
818.261719	-40.896088
829.028320	-39.544132
839.794922	-38.056847
850.561523	-38.273930
861.328125	-41.706261
872.094727	-43.701485
882.861328	-43.886700
893.627930	-43.005177
904.394531	-42.900295
915.161133	-44.550030
925.927734	-45.905025
936.694336	-47.440598
947.460938	-49.088306
958.227539	-47.586216
968.994141	-47.132992
979.760742	-46.561146
990.527344	-46.958611
1001.293945	-48.339787
1012.060547	-48.606556
1022.827148	-48.924637
1033.593750	-48.879906
1044.360352	-48.408859
1055.126953	-48.267944
1065.893555	-47.322445
1076.660156	-47.334812
1087.426758	-48.063236
1098.193359	-47.954689
1108.959961	-48.556942
1119.726562	-49.615238
1130.493164	-49.059704
1141.259766	-49.164066
1152.026367	-48.919868
1162.792969	-48.028736
1173.559570	-46.942081
1184.326172	-45.990654
1195.092773	-47.086586
1205.859375	-47.830616
1216.625977	-45.629982
1227.392578	-43.460396
1238.159180	-44.481750
1248.925781	-46.074589
1259.692383	-44.812046
1270.458984	-44.519756
1281.225586	-46.423027
1291.992188	-47.142086
1302.758789	-46.037235
1313.525391	-43.929070
1324.291992	-44.940811
1335.058594	-46.162300
1345.825195	-46.901371
1356.591797	-46.062008
1367.358398	-45.732285
1378.125000	-45.115246
1388.891602	-44.410740
1399.658203	-43.914833
1410.424805	-43.952305
1421.191406	-45.283619
1431.958008	-45.581482
1442.724609	-44.651440
1453.491211	-44.315239
1464.257812	-44.029144
1475.024414	-43.931370
1485.791016	-44.085083
1496.557617	-43.114296
1507.324219	-43.818398
1518.090820	-44.385529
1528.857422	-43.414249
1539.624023	-41.875713
1550.390625	-43.015835
1561.157227	-43.991470
1571.923828	-43.813221
1582.690430	-43.499649
1593.457031	-42.251541
1604.223633	-43.046066
1614.990234	-44.166714
1625.756836	-42.878754
1636.523438	-42.069923
1647.290039	-42.330139
1658.056641	-42.749287
1668.823242	-42.149670
1679.589844	-41.435295
1690.356445	-42.349041
1701.123047	-44.343346
1711.889648	-45.883659
1722.656250	-46.944523
1733.422852	-46.324924
1744.189453	-45.546631
1754.956055	-46.312103
1765.722656	-47.194336
1776.489258	-48.578045
1787.255859	-49.878666
